province,year,effort_record
Shanghai,2002,13
Shanghai,2003,124
Shanghai,2004,119
Shanghai,2005,191
Shanghai,2006,222
Shanghai,2007,385
Shanghai,2008,304
Shanghai,2009,280
Shanghai,2010,183
Shanghai,2011,136
Shanghai,2012,129
Shanghai,2013,138
Shanghai,2014,56
Shanghai,2015,105
Shanghai,2016,400
Shanghai,2017,380
Shanghai,2018,824
Shanghai,2019,659
Shanghai,2020,2018
Shanghai,2021,6033
Shanghai,2022,9405
Shanghai,2023,18693
Shanghai,2024,22830
Yunnan,2000,2
Yunnan,2002,2
Yunnan,2003,41
Yunnan,2004,51
Yunnan,2005,112
Yunnan,2006,169
Yunnan,2007,159
Yunnan,2008,355
Yunnan,2009,250
Yunnan,2010,228
Yunnan,2011,149
Yunnan,2012,167
Yunnan,2013,145
Yunnan,2014,104
Yunnan,2015,536
Yunnan,2016,515
Yunnan,2017,497
Yunnan,2018,1268
Yunnan,2019,984
Yunnan,2020,2119
Yunnan,2021,3871
Yunnan,2022,6804
Yunnan,2023,16429
Yunnan,2024,16889
Inner Mongolia,2002,4
Inner Mongolia,2004,2
Inner Mongolia,2005,2
Inner Mongolia,2006,4
Inner Mongolia,2007,11
Inner Mongolia,2008,84
Inner Mongolia,2009,17
Inner Mongolia,2010,13
Inner Mongolia,2011,18
Inner Mongolia,2012,19
Inner Mongolia,2013,32
Inner Mongolia,2014,27
Inner Mongolia,2015,60
Inner Mongolia,2016,70
Inner Mongolia,2017,88
Inner Mongolia,2018,241
Inner Mongolia,2019,127
Inner Mongolia,2020,299
Inner Mongolia,2021,670
Inner Mongolia,2022,698
Inner Mongolia,2023,1828
Inner Mongolia,2024,2611
Beijing,2002,9
Beijing,2003,193
Beijing,2004,189
Beijing,2005,364
Beijing,2006,525
Beijing,2007,557
Beijing,2008,406
Beijing,2009,496
Beijing,2010,448
Beijing,2011,250
Beijing,2012,204
Beijing,2013,227
Beijing,2014,101
Beijing,2015,404
Beijing,2016,263
Beijing,2017,273
Beijing,2018,817
Beijing,2019,909
Beijing,2020,3360
Beijing,2021,8662
Beijing,2022,17469
Beijing,2023,25923
Beijing,2024,29854
Taiwan,2003,2
Taiwan,2004,2
Taiwan,2008,1
Taiwan,2009,17
Taiwan,2010,2
Taiwan,2011,5
Taiwan,2012,31
Taiwan,2013,45
Taiwan,2014,4
Taiwan,2015,13
Taiwan,2016,20
Taiwan,2017,58
Taiwan,2018,144
Taiwan,2019,68
Taiwan,2020,99
Taiwan,2021,12
Taiwan,2022,287
Taiwan,2023,535
Taiwan,2024,473
Jilin,2004,5
Jilin,2005,10
Jilin,2006,10
Jilin,2007,32
Jilin,2008,26
Jilin,2009,60
Jilin,2010,24
Jilin,2011,15
Jilin,2012,7
Jilin,2013,5
Jilin,2014,4
Jilin,2015,14
Jilin,2016,8
Jilin,2017,37
Jilin,2018,92
Jilin,2019,46
Jilin,2020,140
Jilin,2021,519
Jilin,2022,318
Jilin,2023,1378
Jilin,2024,1060
Sichuan,2002,4
Sichuan,2003,7
Sichuan,2004,50
Sichuan,2005,149
Sichuan,2006,183
Sichuan,2007,185
Sichuan,2008,154
Sichuan,2009,205
Sichuan,2010,122
Sichuan,2011,87
Sichuan,2012,119
Sichuan,2013,78
Sichuan,2014,3
Sichuan,2015,67
Sichuan,2016,29
Sichuan,2017,31
Sichuan,2018,333
Sichuan,2019,530
Sichuan,2020,1170
Sichuan,2021,3016
Sichuan,2022,4234
Sichuan,2023,10766
Sichuan,2024,11179
Tianjin,2002,2
Tianjin,2003,31
Tianjin,2004,28
Tianjin,2005,20
Tianjin,2006,18
Tianjin,2007,23
Tianjin,2008,24
Tianjin,2009,11
Tianjin,2010,37
Tianjin,2011,34
Tianjin,2012,22
Tianjin,2013,39
Tianjin,2014,10
Tianjin,2015,189
Tianjin,2016,103
Tianjin,2017,55
Tianjin,2018,146
Tianjin,2019,100
Tianjin,2020,203
Tianjin,2021,554
Tianjin,2022,1003
Tianjin,2023,3515
Tianjin,2024,3648
Ningxia,2005,4
Ningxia,2008,7
Ningxia,2009,4
Ningxia,2010,4
Ningxia,2011,9
Ningxia,2012,6
Ningxia,2013,5
Ningxia,2014,6
Ningxia,2015,2
Ningxia,2016,6
Ningxia,2017,7
Ningxia,2018,37
Ningxia,2019,25
Ningxia,2020,105
Ningxia,2021,266
Ningxia,2022,283
Ningxia,2023,578
Ningxia,2024,668
Anhui,2002,1
Anhui,2003,8
Anhui,2004,10
Anhui,2005,38
Anhui,2006,40
Anhui,2007,43
Anhui,2008,57
Anhui,2009,74
Anhui,2010,74
Anhui,2011,58
Anhui,2012,91
Anhui,2013,146
Anhui,2014,60
Anhui,2015,216
Anhui,2016,108
Anhui,2017,89
Anhui,2018,68
Anhui,2019,66
Anhui,2020,216
Anhui,2021,1553
Anhui,2022,1749
Anhui,2023,3380
Anhui,2024,3745
Shandong,2002,7
Shandong,2003,30
Shandong,2004,16
Shandong,2005,13
Shandong,2006,10
Shandong,2007,38
Shandong,2008,37
Shandong,2009,28
Shandong,2010,50
Shandong,2011,43
Shandong,2012,40
Shandong,2013,38
Shandong,2014,3
Shandong,2015,20
Shandong,2016,21
Shandong,2017,22
Shandong,2018,35
Shandong,2019,41
Shandong,2020,65
Shandong,2021,150
Shandong,2022,145
Shandong,2023,937
Shandong,2024,5513
Shanxi,2003,3
Shanxi,2004,5
Shanxi,2005,4
Shanxi,2006,12
Shanxi,2007,5
Shanxi,2008,4
Shanxi,2009,3
Shanxi,2010,4
Shanxi,2011,11
Shanxi,2012,6
Shanxi,2013,20
Shanxi,2014,7
Shanxi,2015,34
Shanxi,2016,34
Shanxi,2017,26
Shanxi,2018,65
Shanxi,2019,73
Shanxi,2020,232
Shanxi,2021,413
Shanxi,2022,402
Shanxi,2023,1404
Shanxi,2024,2463
Guangdong,2002,41
Guangdong,2003,366
Guangdong,2004,136
Guangdong,2005,170
Guangdong,2006,174
Guangdong,2007,450
Guangdong,2008,483
Guangdong,2009,604
Guangdong,2010,442
Guangdong,2011,601
Guangdong,2012,387
Guangdong,2013,494
Guangdong,2014,20
Guangdong,2015,534
Guangdong,2016,489
Guangdong,2017,509
Guangdong,2018,940
Guangdong,2019,1043
Guangdong,2020,3330
Guangdong,2021,8479
Guangdong,2022,16096
Guangdong,2023,27868
Guangdong,2024,27404
Guangxi,2002,5
Guangxi,2003,9
Guangxi,2004,16
Guangxi,2005,34
Guangxi,2006,56
Guangxi,2007,92
Guangxi,2008,167
Guangxi,2009,218
Guangxi,2010,97
Guangxi,2011,64
Guangxi,2012,53
Guangxi,2013,80
Guangxi,2014,86
Guangxi,2015,332
Guangxi,2016,119
Guangxi,2017,165
Guangxi,2018,388
Guangxi,2019,257
Guangxi,2020,687
Guangxi,2021,1644
Guangxi,2022,2623
Guangxi,2023,4122
Guangxi,2024,4808
Xinjiang,2003,1
Xinjiang,2004,21
Xinjiang,2005,65
Xinjiang,2006,117
Xinjiang,2007,136
Xinjiang,2008,121
Xinjiang,2009,87
Xinjiang,2010,66
Xinjiang,2011,77
Xinjiang,2012,111
Xinjiang,2013,31
Xinjiang,2014,21
Xinjiang,2015,303
Xinjiang,2016,214
Xinjiang,2017,77
Xinjiang,2018,530
Xinjiang,2019,243
Xinjiang,2020,307
Xinjiang,2021,1878
Xinjiang,2022,2314
Xinjiang,2023,5750
Xinjiang,2024,1820
Jiangsu,1980,2
Jiangsu,1997,3
Jiangsu,2001,1
Jiangsu,2002,10
Jiangsu,2003,65
Jiangsu,2004,45
Jiangsu,2005,132
Jiangsu,2006,157
Jiangsu,2007,249
Jiangsu,2008,278
Jiangsu,2009,246
Jiangsu,2010,165
Jiangsu,2011,214
Jiangsu,2012,227
Jiangsu,2013,265
Jiangsu,2014,85
Jiangsu,2015,419
Jiangsu,2016,351
Jiangsu,2017,409
Jiangsu,2018,505
Jiangsu,2019,580
Jiangsu,2020,955
Jiangsu,2021,2547
Jiangsu,2022,5928
Jiangsu,2023,14424
Jiangsu,2024,19199
Jiangxi,2002,7
Jiangxi,2003,15
Jiangxi,2004,18
Jiangxi,2005,25
Jiangxi,2006,46
Jiangxi,2007,52
Jiangxi,2008,58
Jiangxi,2009,68
Jiangxi,2010,65
Jiangxi,2011,79
Jiangxi,2012,89
Jiangxi,2013,114
Jiangxi,2014,44
Jiangxi,2015,199
Jiangxi,2016,202
Jiangxi,2017,202
Jiangxi,2018,269
Jiangxi,2019,263
Jiangxi,2020,753
Jiangxi,2021,1856
Jiangxi,2022,2579
Jiangxi,2023,5423
Jiangxi,2024,5326
Hebei,2002,7
Hebei,2003,18
Hebei,2004,23
Hebei,2005,32
Hebei,2006,27
Hebei,2007,28
Hebei,2008,49
Hebei,2009,28
Hebei,2010,26
Hebei,2011,15
Hebei,2012,17
Hebei,2013,33
Hebei,2014,8
Hebei,2015,76
Hebei,2016,100
Hebei,2017,46
Hebei,2018,87
Hebei,2019,161
Hebei,2020,391
Hebei,2021,568
Hebei,2022,630
Hebei,2023,2569
Hebei,2024,2996
Henan,2002,3
Henan,2003,4
Henan,2004,39
Henan,2005,44
Henan,2006,116
Henan,2007,104
Henan,2008,97
Henan,2009,98
Henan,2010,168
Henan,2011,111
Henan,2012,88
Henan,2013,68
Henan,2014,13
Henan,2015,44
Henan,2016,44
Henan,2017,59
Henan,2018,44
Henan,2019,123
Henan,2020,217
Henan,2021,501
Henan,2022,475
Henan,2023,957
Henan,2024,6436
Zhejiang,2002,13
Zhejiang,2003,93
Zhejiang,2004,104
Zhejiang,2005,172
Zhejiang,2006,231
Zhejiang,2007,260
Zhejiang,2008,241
Zhejiang,2009,296
Zhejiang,2010,393
Zhejiang,2011,334
Zhejiang,2012,333
Zhejiang,2013,451
Zhejiang,2014,27
Zhejiang,2015,190
Zhejiang,2016,91
Zhejiang,2017,49
Zhejiang,2018,105
Zhejiang,2019,110
Zhejiang,2020,251
Zhejiang,2021,817
Zhejiang,2022,2136
Zhejiang,2023,6219
Zhejiang,2024,20702
Hainan,2003,1
Hainan,2004,10
Hainan,2005,28
Hainan,2006,25
Hainan,2007,10
Hainan,2008,15
Hainan,2009,19
Hainan,2010,28
Hainan,2011,29
Hainan,2012,31
Hainan,2013,16
Hainan,2014,15
Hainan,2015,69
Hainan,2016,29
Hainan,2017,55
Hainan,2018,140
Hainan,2019,57
Hainan,2020,331
Hainan,2021,1352
Hainan,2022,2210
Hainan,2023,3698
Hainan,2024,4039
Hubei,2002,12
Hubei,2003,12
Hubei,2004,46
Hubei,2005,55
Hubei,2006,80
Hubei,2007,161
Hubei,2008,309
Hubei,2009,290
Hubei,2010,409
Hubei,2011,398
Hubei,2012,278
Hubei,2013,192
Hubei,2014,36
Hubei,2015,726
Hubei,2016,897
Hubei,2017,937
Hubei,2018,563
Hubei,2019,634
Hubei,2020,889
Hubei,2021,3176
Hubei,2022,5478
Hubei,2023,11963
Hubei,2024,12557
Hunan,2002,23
Hunan,2003,74
Hunan,2004,49
Hunan,2005,21
Hunan,2006,43
Hunan,2007,44
Hunan,2008,24
Hunan,2009,97
Hunan,2010,70
Hunan,2011,127
Hunan,2012,90
Hunan,2013,47
Hunan,2014,11
Hunan,2015,128
Hunan,2016,133
Hunan,2017,131
Hunan,2018,238
Hunan,2019,313
Hunan,2020,2080
Hunan,2021,4042
Hunan,2022,8115
Hunan,2023,8567
Hunan,2024,7811
Macao,2003,3
Macao,2004,17
Macao,2005,2
Macao,2006,4
Macao,2009,4
Macao,2011,3
Macao,2017,3
Macao,2020,1
Macao,2021,4
Macao,2022,3
Macao,2023,81
Macao,2024,108
Gansu,2004,1
Gansu,2005,4
Gansu,2006,3
Gansu,2007,17
Gansu,2008,21
Gansu,2009,76
Gansu,2010,65
Gansu,2011,92
Gansu,2012,117
Gansu,2013,97
Gansu,2014,21
Gansu,2015,217
Gansu,2016,175
Gansu,2017,163
Gansu,2018,138
Gansu,2019,164
Gansu,2020,235
Gansu,2021,780
Gansu,2022,1059
Gansu,2023,2369
Gansu,2024,2153
Fujian,2002,6
Fujian,2003,35
Fujian,2004,26
Fujian,2005,23
Fujian,2006,86
Fujian,2007,96
Fujian,2008,80
Fujian,2009,98
Fujian,2010,81
Fujian,2011,102
Fujian,2012,188
Fujian,2013,335
Fujian,2014,34
Fujian,2015,378
Fujian,2016,279
Fujian,2017,426
Fujian,2018,807
Fujian,2019,514
Fujian,2020,1251
Fujian,2021,2498
Fujian,2022,5468
Fujian,2023,11034
Fujian,2024,10706
Tibet,1999,2
Tibet,2003,11
Tibet,2004,5
Tibet,2005,31
Tibet,2006,8
Tibet,2007,9
Tibet,2008,12
Tibet,2009,23
Tibet,2010,31
Tibet,2011,30
Tibet,2012,36
Tibet,2013,49
Tibet,2014,12
Tibet,2015,34
Tibet,2016,56
Tibet,2017,14
Tibet,2018,140
Tibet,2019,46
Tibet,2020,239
Tibet,2021,1170
Tibet,2022,678
Tibet,2023,4453
Tibet,2024,3202
Guizhou,2003,11
Guizhou,2004,75
Guizhou,2005,41
Guizhou,2006,77
Guizhou,2007,67
Guizhou,2008,48
Guizhou,2009,26
Guizhou,2010,23
Guizhou,2011,20
Guizhou,2012,28
Guizhou,2013,17
Guizhou,2014,39
Guizhou,2015,95
Guizhou,2016,51
Guizhou,2017,62
Guizhou,2018,150
Guizhou,2019,64
Guizhou,2020,183
Guizhou,2021,395
Guizhou,2022,643
Guizhou,2023,1465
Guizhou,2024,1465
Liaoning,2003,9
Liaoning,2004,31
Liaoning,2005,48
Liaoning,2006,31
Liaoning,2007,30
Liaoning,2008,35
Liaoning,2009,31
Liaoning,2010,26
Liaoning,2011,13
Liaoning,2012,17
Liaoning,2013,7
Liaoning,2014,6
Liaoning,2015,54
Liaoning,2016,32
Liaoning,2017,154
Liaoning,2018,128
Liaoning,2019,118
Liaoning,2020,306
Liaoning,2021,675
Liaoning,2022,1383
Liaoning,2023,2432
Liaoning,2024,2563
Chongqing,2005,12
Chongqing,2006,5
Chongqing,2007,8
Chongqing,2008,18
Chongqing,2009,10
Chongqing,2010,10
Chongqing,2011,20
Chongqing,2012,93
Chongqing,2013,37
Chongqing,2014,4
Chongqing,2015,2
Chongqing,2016,5
Chongqing,2017,3
Chongqing,2018,16
Chongqing,2019,13
Chongqing,2020,16
Chongqing,2021,148
Chongqing,2022,397
Chongqing,2023,1980
Chongqing,2024,3071
Shaanxi,2002,3
Shaanxi,2003,6
Shaanxi,2004,19
Shaanxi,2005,5
Shaanxi,2006,19
Shaanxi,2007,27
Shaanxi,2008,89
Shaanxi,2009,95
Shaanxi,2010,85
Shaanxi,2011,116
Shaanxi,2012,94
Shaanxi,2013,124
Shaanxi,2014,59
Shaanxi,2015,107
Shaanxi,2016,54
Shaanxi,2017,127
Shaanxi,2018,354
Shaanxi,2019,330
Shaanxi,2020,367
Shaanxi,2021,751
Shaanxi,2022,941
Shaanxi,2023,2591
Shaanxi,2024,3377
Qinghai,2000,2
Qinghai,2001,1
Qinghai,2002,1
Qinghai,2004,2
Qinghai,2005,40
Qinghai,2006,30
Qinghai,2007,79
Qinghai,2008,24
Qinghai,2009,24
Qinghai,2010,19
Qinghai,2011,17
Qinghai,2012,19
Qinghai,2013,38
Qinghai,2014,21
Qinghai,2015,89
Qinghai,2016,85
Qinghai,2017,102
Qinghai,2018,331
Qinghai,2019,114
Qinghai,2020,627
Qinghai,2021,1260
Qinghai,2022,1924
Qinghai,2023,3215
Qinghai,2024,2904
Hong Kong,2003,8
Hong Kong,2004,11
Hong Kong,2005,4
Hong Kong,2006,4
Hong Kong,2007,5
Hong Kong,2008,13
Hong Kong,2009,24
Hong Kong,2010,67
Hong Kong,2011,14
Hong Kong,2012,14
Hong Kong,2013,25
Hong Kong,2014,9
Hong Kong,2015,12
Hong Kong,2016,30
Hong Kong,2017,26
Hong Kong,2018,61
Hong Kong,2019,104
Hong Kong,2020,29
Hong Kong,2021,18
Hong Kong,2022,301
Hong Kong,2023,670
Hong Kong,2024,1131
Heilongjiang,2003,4
Heilongjiang,2004,7
Heilongjiang,2005,18
Heilongjiang,2006,8
Heilongjiang,2007,1
Heilongjiang,2008,6
Heilongjiang,2009,5
Heilongjiang,2010,6
Heilongjiang,2011,20
Heilongjiang,2012,32
Heilongjiang,2013,28
Heilongjiang,2014,1
Heilongjiang,2015,10
Heilongjiang,2016,47
Heilongjiang,2017,55
Heilongjiang,2018,80
Heilongjiang,2019,37
Heilongjiang,2020,41
Heilongjiang,2021,136
Heilongjiang,2022,476
Heilongjiang,2023,1231
Heilongjiang,2024,1291
