"order","province","year","iucn","n_records"
"Passeriformes","Beijing",2014,"LC",1
"Passeriformes","Beijing",2017,"LC",1
"Passeriformes","Beijing",2022,"LC",1
"Passeriformes","Chongqing",2006,"LC",1
"Passeriformes","Chongqing",2009,"LC",4
"Passeriformes","Chongqing",2010,"LC",1
"Passeriformes","Chongqing",2025,"LC",1
"Passeriformes","Fujian",2020,"LC",1
"Passeriformes","Fujian",2024,"LC",1
"Passeriformes","Gansu",2009,"NT",1
"Passeriformes","Gansu",2011,"LC",1
"Passeriformes","Gansu",2015,"LC",2
"Passeriformes","Gansu",2016,"LC",4
"Passeriformes","Gansu",2017,"LC",1
"Passeriformes","Gansu",2018,"LC",1
"Passeriformes","Gansu",2019,"NT",1
"Passeriformes","Gansu",2019,"LC",1
"Passeriformes","Gansu",2020,"LC",3
"Passeriformes","Gansu",2021,"LC",2
"Passeriformes","Gansu",2022,"LC",2
"Passeriformes","Gansu",2023,"LC",1
"Passeriformes","Gansu",2024,"LC",1
"Passeriformes","Gansu",2025,"LC",3
"Passeriformes","Guangdong",2008,"LC",1
"Passeriformes","Guangdong",2022,"LC",1
"Passeriformes","Guangdong",2025,"LC",2
"Passeriformes","Guangxi",2002,"LC",1
"Passeriformes","Guangxi",2003,"LC",1
"Passeriformes","Guangxi",2005,"LC",2
"Passeriformes","Guangxi",2006,"LC",7
"Passeriformes","Guangxi",2008,"VU",1
"Passeriformes","Guangxi",2008,"LC",1
"Passeriformes","Guangxi",2010,"LC",1
"Passeriformes","Guangxi",2013,"LC",2
"Passeriformes","Guangxi",2014,"LC",2
"Passeriformes","Guangxi",2015,"LC",1
"Passeriformes","Guangxi",2019,"LC",1
"Passeriformes","Guangxi",2024,"LC",1
"Passeriformes","Guangxi",2025,"LC",1
"Passeriformes","Guizhou",2010,"LC",2
"Passeriformes","Guizhou",2012,"LC",1
"Passeriformes","Guizhou",2014,"LC",1
"Passeriformes","Guizhou",2015,"LC",1
"Passeriformes","Guizhou",2016,"VU",1
"Passeriformes","Guizhou",2016,"LC",1
"Passeriformes","Guizhou",2017,"LC",1
"Passeriformes","Guizhou",2018,"LC",2
"Passeriformes","Guizhou",2019,"LC",1
"Passeriformes","Guizhou",2020,"LC",1
"Passeriformes","Guizhou",2024,"VU",1
"Passeriformes","Guizhou",2024,"LC",4
"Passeriformes","Guizhou",2025,"LC",1
"Passeriformes","Hainan",2006,"LC",5
"Passeriformes","Hainan",2007,"LC",1
"Passeriformes","Hainan",2009,"LC",1
"Passeriformes","Hainan",2011,"LC",1
"Passeriformes","Hainan",2017,"LC",1
"Passeriformes","Hainan",2019,"LC",2
"Passeriformes","Hainan",2020,"LC",1
"Passeriformes","Hainan",2022,"LC",3
"Passeriformes","Hebei",2008,"LC",1
"Passeriformes","Hebei",2016,"LC",1
"Passeriformes","Hebei",2020,"LC",1
"Passeriformes","Hebei",2023,"LC",1
"Passeriformes","Hebei",2024,"LC",1
"Passeriformes","Heilongjiang",2003,"LC",1
"Passeriformes","Heilongjiang",2006,"LC",2
"Passeriformes","Heilongjiang",2008,"LC",1
"Passeriformes","Heilongjiang",2010,"LC",2
"Passeriformes","Heilongjiang",2011,"LC",1
"Passeriformes","Heilongjiang",2012,"LC",1
"Passeriformes","Heilongjiang",2014,"LC",1
"Passeriformes","Heilongjiang",2015,"LC",1
"Passeriformes","Heilongjiang",2016,"LC",1
"Passeriformes","Heilongjiang",2024,"LC",1
"Passeriformes","Heilongjiang",2025,"LC",2
"Passeriformes","Henan",2007,"LC",1
"Passeriformes","Henan",2008,"NT",1
"Passeriformes","Henan",2011,"LC",1
"Passeriformes","Henan",2013,"LC",1
"Passeriformes","Henan",2016,"LC",2
"Passeriformes","Henan",2016,"NA",1
"Passeriformes","Henan",2017,"LC",4
"Passeriformes","Henan",2018,"LC",1
"Passeriformes","Henan",2020,"LC",3
"Passeriformes","Henan",2021,"LC",2
"Passeriformes","Henan",2022,"LC",1
"Passeriformes","Henan",2023,"LC",1
"Passeriformes","Henan",2024,"LC",2
"Passeriformes","Henan",2025,"LC",1
"Passeriformes","Hong Kong",2008,"LC",1
"Passeriformes","Hubei",2001,"LC",1
"Passeriformes","Hubei",2004,"LC",1
"Passeriformes","Hubei",2010,"LC",1
"Passeriformes","Hubei",2011,"VU",1
"Passeriformes","Hubei",2012,"LC",1
"Passeriformes","Hubei",2013,"LC",1
"Passeriformes","Hubei",2014,"NT",1
"Passeriformes","Hubei",2015,"LC",1
"Passeriformes","Hubei",2016,"LC",2
"Passeriformes","Hubei",2017,"LC",1
"Passeriformes","Hubei",2019,"LC",2
"Passeriformes","Hubei",2020,"VU",1
"Passeriformes","Hubei",2020,"LC",2
"Passeriformes","Hubei",2021,"VU",1
"Passeriformes","Hubei",2021,"LC",1
"Passeriformes","Hubei",2022,"LC",2
"Passeriformes","Hubei",2024,"LC",3
"Passeriformes","Hubei",2025,"LC",2
"Passeriformes","Hunan",2007,"LC",1
"Passeriformes","Hunan",2010,"LC",4
"Passeriformes","Hunan",2011,"LC",4
"Passeriformes","Hunan",2014,"LC",7
"Passeriformes","Hunan",2015,"LC",2
"Passeriformes","Hunan",2016,"NT",1
"Passeriformes","Hunan",2016,"LC",3
"Passeriformes","Hunan",2017,"LC",1
"Passeriformes","Hunan",2019,"LC",1
"Passeriformes","Hunan",2021,"LC",2
"Passeriformes","Hunan",2022,"LC",4
"Passeriformes","Hunan",2023,"LC",5
"Passeriformes","Hunan",2024,"LC",3
"Passeriformes","Hunan",2025,"LC",5
"Passeriformes","Inner Mongolia",2009,"LC",1
"Passeriformes","Inner Mongolia",2014,"LC",2
"Passeriformes","Inner Mongolia",2015,"LC",2
"Passeriformes","Inner Mongolia",2017,"LC",1
"Passeriformes","Inner Mongolia",2022,"LC",1
"Passeriformes","Inner Mongolia",2023,"LC",12
"Passeriformes","Inner Mongolia",2024,"LC",1
"Passeriformes","Jiangsu",2009,"LC",3
"Passeriformes","Jiangsu",2014,"LC",1
"Passeriformes","Jiangsu",2019,"LC",3
"Passeriformes","Jiangsu",2020,"LC",2
"Passeriformes","Jiangsu",2021,"LC",3
"Passeriformes","Jiangsu",2023,"LC",1
"Passeriformes","Jiangsu",2024,"LC",12
"Passeriformes","Jiangsu",2025,"LC",4
"Passeriformes","Jiangxi",2009,"LC",1
"Passeriformes","Jiangxi",2010,"LC",1
"Passeriformes","Jiangxi",2011,"LC",4
"Passeriformes","Jiangxi",2012,"LC",2
"Passeriformes","Jiangxi",2013,"LC",1
"Passeriformes","Jiangxi",2015,"LC",1
"Passeriformes","Jiangxi",2018,"LC",4
"Passeriformes","Jiangxi",2019,"LC",1
"Passeriformes","Jiangxi",2021,"LC",1
"Passeriformes","Jiangxi",2022,"LC",1
"Passeriformes","Jiangxi",2023,"LC",1
"Passeriformes","Jiangxi",2025,"LC",2
"Passeriformes","Jilin",2012,"LC",1
"Passeriformes","Jilin",2020,"VU",1
"Passeriformes","Jilin",2020,"LC",1
"Passeriformes","Jilin",2022,"NT",1
"Passeriformes","Jilin",2023,"LC",3
"Passeriformes","Jilin",2025,"LC",1
"Passeriformes","Liaoning",2003,"LC",2
"Passeriformes","Liaoning",2006,"LC",2
"Passeriformes","Liaoning",2014,"LC",2
"Passeriformes","Liaoning",2022,"LC",3
"Passeriformes","Liaoning",2025,"LC",1
"Passeriformes","Ningxia",2011,"LC",2
"Passeriformes","Ningxia",2018,"LC",1
"Passeriformes","Ningxia",2019,"LC",3
"Passeriformes","Ningxia",2021,"LC",1
"Passeriformes","Ningxia",2022,"NT",1
"Passeriformes","Ningxia",2022,"LC",1
"Passeriformes","Ningxia",2024,"LC",3
"Passeriformes","Qinghai",2006,"LC",1
"Passeriformes","Qinghai",2013,"NT",1
"Passeriformes","Qinghai",2014,"LC",2
"Passeriformes","Qinghai",2015,"LC",2
"Passeriformes","Qinghai",2017,"LC",6
"Passeriformes","Qinghai",2019,"LC",5
"Passeriformes","Qinghai",2021,"LC",1
"Passeriformes","Qinghai",2024,"LC",1
"Passeriformes","Qinghai",2025,"LC",2
"Passeriformes","Shaanxi",2005,"LC",1
"Passeriformes","Shaanxi",2007,"LC",8
"Passeriformes","Shaanxi",2008,"LC",1
"Passeriformes","Shaanxi",2009,"LC",1
"Passeriformes","Shaanxi",2010,"LC",2
"Passeriformes","Shaanxi",2011,"LC",1
"Passeriformes","Shaanxi",2012,"LC",2
"Passeriformes","Shaanxi",2013,"LC",1
"Passeriformes","Shaanxi",2014,"LC",1
"Passeriformes","Shaanxi",2015,"LC",1
"Passeriformes","Shaanxi",2018,"LC",2
"Passeriformes","Shaanxi",2019,"LC",1
"Passeriformes","Shaanxi",2020,"LC",2
"Passeriformes","Shaanxi",2023,"LC",2
"Passeriformes","Shandong",2009,"LC",1
"Passeriformes","Shandong",2010,"LC",2
"Passeriformes","Shandong",2017,"LC",2
"Passeriformes","Shandong",2022,"LC",2
"Passeriformes","Shandong",2023,"LC",2
"Passeriformes","Shandong",2024,"LC",2
"Passeriformes","Shandong",2025,"LC",3
"Passeriformes","Shanghai",2006,"NT",1
"Passeriformes","Shanghai",2006,"LC",2
"Passeriformes","Shanghai",2013,"LC",5
"Passeriformes","Shanghai",2018,"LC",9
"Passeriformes","Shanxi",2016,"LC",1
"Passeriformes","Shanxi",2018,"LC",1
"Passeriformes","Shanxi",2020,"LC",1
"Passeriformes","Shanxi",2025,"LC",1
"Passeriformes","Sichuan",2007,"LC",2
"Passeriformes","Sichuan",2012,"VU",1
"Passeriformes","Sichuan",2012,"LC",1
"Passeriformes","Sichuan",2013,"LC",1
"Passeriformes","Sichuan",2015,"LC",1
"Passeriformes","Sichuan",2017,"LC",3
"Passeriformes","Sichuan",2018,"LC",2
"Passeriformes","Sichuan",2019,"LC",1
"Passeriformes","Sichuan",2021,"LC",1
"Passeriformes","Sichuan",2023,"LC",1
"Passeriformes","Sichuan",2025,"LC",2
"Passeriformes","Tianjin",2001,"LC",2
"Passeriformes","Tianjin",2002,"NT",1
"Passeriformes","Tianjin",2002,"LC",2
"Passeriformes","Tianjin",2018,"LC",1
"Passeriformes","Tianjin",2019,"LC",1
"Passeriformes","Tianjin",2020,"LC",1
"Passeriformes","Tianjin",2023,"LC",2
"Passeriformes","Tianjin",2025,"LC",1
"Passeriformes","Tibet",2006,"LC",1
"Passeriformes","Tibet",2010,"LC",3
"Passeriformes","Tibet",2014,"LC",3
"Passeriformes","Tibet",2015,"NT",1
"Passeriformes","Tibet",2015,"LC",2
"Passeriformes","Tibet",2016,"LC",3
"Passeriformes","Tibet",2017,"LC",6
"Passeriformes","Tibet",2018,"LC",1
"Passeriformes","Tibet",2019,"VU",1
"Passeriformes","Tibet",2019,"LC",5
"Passeriformes","Tibet",2020,"LC",3
"Passeriformes","Tibet",2022,"LC",3
"Passeriformes","Tibet",2023,"LC",1
"Passeriformes","Tibet",2024,"LC",5
"Passeriformes","Tibet",2025,"LC",1
"Passeriformes","Xinjiang",2000,"LC",1
"Passeriformes","Xinjiang",2004,"LC",1
"Passeriformes","Xinjiang",2008,"LC",2
"Passeriformes","Xinjiang",2010,"LC",4
"Passeriformes","Xinjiang",2011,"LC",2
"Passeriformes","Xinjiang",2013,"LC",4
"Passeriformes","Xinjiang",2016,"LC",1
"Passeriformes","Xinjiang",2023,"LC",2
"Passeriformes","Xinjiang",2024,"LC",1
"Passeriformes","Yunnan",2000,"LC",1
"Passeriformes","Yunnan",2007,"LC",2
"Passeriformes","Yunnan",2010,"LC",1
"Passeriformes","Yunnan",2011,"LC",1
"Passeriformes","Yunnan",2015,"LC",1
"Passeriformes","Yunnan",2017,"LC",1
"Passeriformes","Yunnan",2019,"LC",2
"Passeriformes","Yunnan",2020,"LC",1
"Passeriformes","Yunnan",2023,"LC",1
"Passeriformes","Yunnan",2025,"LC",1
"Passeriformes","Zhejiang",2006,"LC",2
"Passeriformes","Zhejiang",2010,"LC",1
"Passeriformes","Zhejiang",2013,"LC",1
"Passeriformes","Zhejiang",2017,"LC",1
"Passeriformes","Zhejiang",2018,"LC",3
"Passeriformes","Zhejiang",2020,"LC",2
"Passeriformes","Zhejiang",2021,"LC",1
"Passeriformes","Zhejiang",2022,"LC",4
"Passeriformes","Zhejiang",2023,"LC",1
"Passeriformes","Zhejiang",2024,"VU",1
"Pelecaniformes","Anhui",2010,"LC",1
"Pelecaniformes","Anhui",2013,"LC",1
"Pelecaniformes","Anhui",2017,"EN",1
"Pelecaniformes","Gansu",2020,"LC",1
"Pelecaniformes","Gansu",2024,"EN",1
"Pelecaniformes","Guangdong",2000,"EN",1
"Pelecaniformes","Guangdong",2025,"LC",1
"Pelecaniformes","Guangxi",2003,"VU",1
"Pelecaniformes","Guangxi",2025,"LC",1
"Pelecaniformes","Guizhou",2008,"EN",1
"Pelecaniformes","Guizhou",2009,"LC",1
"Pelecaniformes","Guizhou",2014,"NT",1
"Pelecaniformes","Guizhou",2024,"NT",1
"Pelecaniformes","Hainan",2022,"LC",1
"Pelecaniformes","Hainan",2025,"VU",1
"Pelecaniformes","Heilongjiang",2010,"NA",1
"Pelecaniformes","Henan",2015,"LC",1
"Pelecaniformes","Hubei",2018,"LC",1
"Pelecaniformes","Hunan",2006,"EN",1
"Pelecaniformes","Jiangsu",2017,"LC",1
"Pelecaniformes","Jiangsu",2019,"LC",1
"Pelecaniformes","Jiangsu",2021,"LC",1
"Pelecaniformes","Jiangsu",2025,"LC",1
"Pelecaniformes","Jiangxi",2017,"LC",1
"Pelecaniformes","Jilin",2023,"LC",1
"Pelecaniformes","Liaoning",2006,"LC",1
"Pelecaniformes","Liaoning",2024,"LC",1
"Pelecaniformes","Qinghai",2019,"LC",1
"Pelecaniformes","Shaanxi",2015,"LC",1
"Pelecaniformes","Shaanxi",2022,"EN",1
"Pelecaniformes","Shandong",2019,"LC",1
"Pelecaniformes","Shandong",2021,"LC",1
"Pelecaniformes","Shanxi",2017,"NA",1
"Pelecaniformes","Sichuan",2004,"LC",1
"Pelecaniformes","Sichuan",2016,"EN",1
"Pelecaniformes","Tianjin",2002,"NA",1
"Pelecaniformes","Tianjin",2006,"VU",1
"Pelecaniformes","Tianjin",2017,"LC",1
"Pelecaniformes","Tibet",2014,"LC",1
"Pelecaniformes","Tibet",2015,"LC",1
"Pelecaniformes","Tibet",2019,"LC",1
"Pelecaniformes","Xinjiang",2001,"LC",1
"Pelecaniformes","Xinjiang",2019,"LC",1
"Pelecaniformes","Yunnan",2006,"EN",1
"Pelecaniformes","Yunnan",2013,"LC",1
"Pelecaniformes","Yunnan",2016,"LC",1
"Phoenicopteriformes","Anhui",2024,"LC",1
"Phoenicopteriformes","Beijing",2016,"LC",1
"Phoenicopteriformes","Inner Mongolia",2017,"LC",1
"Phoenicopteriformes","Liaoning",2022,"LC",1
"Phoenicopteriformes","Ningxia",2016,"LC",1
"Phoenicopteriformes","Qinghai",2014,"LC",1
"Phoenicopteriformes","Shaanxi",2010,"LC",1
"Phoenicopteriformes","Shandong",2016,"LC",1
"Phoenicopteriformes","Shanghai",2019,"LC",1
"Phoenicopteriformes","Sichuan",2018,"LC",1
"Phoenicopteriformes","Tianjin",2017,"LC",1
"Phoenicopteriformes","Xinjiang",2000,"LC",1
"Phoenicopteriformes","Yunnan",2021,"LC",1
"Piciformes","Gansu",2017,"LC",1
"Piciformes","Guangdong",2014,"LC",1
"Piciformes","Guangxi",2006,"LC",1
"Piciformes","Guangxi",2008,"LC",1
"Piciformes","Hunan",2018,"LC",1
"Piciformes","Qinghai",2015,"LC",1
"Piciformes","Shandong",2017,"LC",1
"Piciformes","Sichuan",2022,"LC",1
"Piciformes","Tibet",2019,"LC",1
"Piciformes","Yunnan",2016,"LC",1
"Piciformes","Zhejiang",2018,"LC",1
"Podicipediformes","Gansu",2008,"LC",1
"Podicipediformes","Gansu",2021,"VU",1
"Podicipediformes","Shaanxi",2007,"LC",1
"Podicipediformes","Shaanxi",2017,"VU",1
"Podicipediformes","Tibet",2014,"LC",1
"Procellariiformes","Anhui",2012,"NT",1
"Procellariiformes","Fujian",2005,"NT",1
"Procellariiformes","Fujian",2024,"LC",1
"Procellariiformes","Hebei",2014,"LC",1
"Procellariiformes","Shanghai",2013,"LC",1
"Procellariiformes","Tianjin",2019,"NT",1
"Procellariiformes","Yunnan",2006,"LC",1
"Procellariiformes","Zhejiang",2019,"LC",1
"Procellariiformes","Zhejiang",2022,"LC",1
"Pterocliformes","Guangxi",2006,"LC",1
"Strigiformes","Anhui",2023,"LC",1
"Strigiformes","Beijing",2008,"LC",1
"Strigiformes","Chongqing",2019,"LC",1
"Strigiformes","Gansu",2024,"LC",1
"Strigiformes","Guangxi",2004,"LC",1
"Strigiformes","Guangxi",2005,"LC",1
"Strigiformes","Guangxi",2014,"LC",1
"Strigiformes","Hainan",2019,"LC",1
"Strigiformes","Hebei",2005,"LC",1
"Strigiformes","Henan",2012,"LC",1
"Strigiformes","Hunan",2023,"LC",1
"Strigiformes","Inner Mongolia",2022,"LC",1
"Strigiformes","Jiangxi",2011,"LC",1
"Strigiformes","Shanxi",2024,"LC",1
"Strigiformes","Tibet",2021,"LC",1
"Strigiformes","Yunnan",2002,"LC",1
"Strigiformes","Zhejiang",2015,"LC",1
"Strigiformes","Zhejiang",2023,"LC",1
"Suliformes","Beijing",2011,"LC",1
"Suliformes","Fujian",2001,"LC",1
"Suliformes","Fujian",2006,"VU",1
"Suliformes","Guangdong",2025,"LC",1
"Suliformes","Hebei",2018,"LC",1
"Suliformes","Jiangsu",2024,"LC",2
"Suliformes","Jiangxi",2012,"LC",1
"Suliformes","Liaoning",2021,"VU",1
"Suliformes","Liaoning",2021,"LC",1
"Suliformes","Shaanxi",2017,"LC",1
"Suliformes","Taiwan",2025,"LC",1
"Suliformes","Yunnan",2024,"LC",1
"Suliformes","Zhejiang",2017,"LC",1
"Suliformes","Zhejiang",2021,"LC",1
"Trogoniformes","Tibet",2020,"LC",1
