species,record_count_new_record,first_year,provinces_recorded,new_record_order
Abroscopus albogularis,5,2017,Hebei | Jiangsu | Ningxia | Shanghai | Tibet,Passeriformes
Acanthis flammea,1,2015,Qinghai,Passeriformes
Accipiter badius,1,2025,Hunan,Accipitriformes
Accipiter gularis,1,2013,Xinjiang,Accipitriformes
Accipiter soloensis,3,2015,Gansu | Heilongjiang | Inner Mongolia,Accipitriformes
Accipiter trivirgatus,7,2001,Anhui | Beijing | Fujian | Gansu | Henan | Liaoning | Shaanxi,Accipitriformes
Accipiter virgatus,1,2012,Anhui,Accipitriformes
Acridotheres cristatellus,1,2023,Jilin,Passeriformes
Acridotheres tristis,4,2010,Chongqing | Guizhou | Jiangxi | Shandong,Passeriformes
Acrocephalus agricola,1,2023,Inner Mongolia,Passeriformes
Acrocephalus bistrigiceps,2,2017,Guizhou | Tibet,Passeriformes
Acrocephalus concinens,1,2006,Shanghai,Passeriformes
Acrocephalus dumetorum,1,2017,Sichuan,Passeriformes
Acrocephalus orientalis,1,2024,Tibet,Passeriformes
Acrocephalus tangorum,2,2020,Hubei | Zhejiang,Passeriformes
Aegithalos bonvaloti,1,2007,Shaanxi,Passeriformes
Aegithalos caudatus,2,2020,Shandong | Tianjin,Passeriformes
Aegithalos concinnus,2,2020,Gansu | Hebei,Passeriformes
Aegithalos fuliginosus,2,2010,Hunan | Shanxi,Passeriformes
Aerodramus brevirostris,1,2010,Guizhou,Caprimulgiformes
Aethopyga christinae,2,2004,Anhui | Hubei,Passeriformes
Aethopyga gouldiae,1,2017,Henan,Passeriformes
Agropsar philippensis,1,2025,Shandong,Passeriformes
Agropsar sturninus,1,2023,Tibet,Passeriformes
Aix galericulata,2,2015,Tibet | Xinjiang,Anseriformes
Alauda gulgula,1,2023,Inner Mongolia,Passeriformes
Alaudala cheleensis,1,2024,Fujian,Passeriformes
Alaudala heinei,1,2025,Yunnan,Passeriformes
Alcedo hercules,1,2006,Fujian,Coraciiformes
Alcippe morrisonia,1,2016,Henan,Passeriformes
Amaurornis cinerea,1,2017,Yunnan,Gruiformes
Amaurornis phoenicurus,5,2002,Heilongjiang | Inner Mongolia | Jilin | Qinghai,Gruiformes
Anas carolinensis,1,2023,Shandong,NA
Anastomus oscitans,5,2018,Hebei | Hunan | Qinghai | Shaanxi | Sichuan,Ciconiiformes
Anhinga melanogaster,1,2024,Yunnan,Suliformes
Anous stolidus,2,2020,Anhui | Jiangsu,Charadriiformes
Anser albifrons,1,2023,Gansu,Anseriformes
Anser anser,1,2009,Hainan,Anseriformes
Anser caerulescens,4,2000,Guizhou | Jilin | Liaoning | Shandong,Anseriformes
Anser erythropus,1,2004,Yunnan,Anseriformes
Anser fabalis,1,2016,Tibet,Anseriformes
Anser indicus,2,2007,Chongqing | Henan,Anseriformes
Anthreptes malacensis,1,2010,Yunnan,Passeriformes
Anthus godlewskii,1,2007,Shaanxi,Passeriformes
Anthus gustavi,4,2010,Anhui | Hubei | Xinjiang,Passeriformes
Anthus pratensis,1,2025,Jiangsu,Passeriformes
Anthus richardi,1,2017,Tibet,Passeriformes
Anthus roseatus,1,2021,Zhejiang,Passeriformes
Anthus trivialis,1,2024,Jiangsu,Passeriformes
Aquila fasciata,2,2020,Liaoning | Shaanxi,Accipitriformes
Aquila heliaca,2,2021,Hunan | Ningxia,Accipitriformes
Ardea intermedia,2,2006,Jilin | Liaoning,Pelecaniformes
Ardea purpurea,1,2019,Xinjiang,Pelecaniformes
Ardenna pacifica,2,2013,Shanghai | Zhejiang,Procellariiformes
Ardenna tenuirostris,2,2014,Fujian | Hebei,Procellariiformes
Ardeola bacchus,1,2001,Xinjiang,Pelecaniformes
Ardeola grayii,2,2016,Guangdong | Yunnan,Pelecaniformes
Ardeola speciosa,1,2025,Guangxi,Pelecaniformes
Arenaria interpres,2,2000,Xinjiang | Yunnan,Charadriiformes
Artamus fuscus,3,2015,Guizhou | Hunan | Jiangxi,Passeriformes
Asarcornis scutulata,1,2019,Yunnan,Anseriformes
Asio flammeus,1,2005,Guangxi,Strigiformes
Athene noctua,2,2002,Yunnan | Zhejiang,Strigiformes
Aviceda jerdoni,2,2018,Guangdong | Hunan,Accipitriformes
Aviceda leuphotes,4,2010,Gansu | Jiangsu | Ningxia | Shanxi,Accipitriformes
Aythya collaris,1,2023,Shandong,Anseriformes
Aythya fuligula,1,2006,Hainan,Anseriformes
Aythya nyroca,2,2006,Fujian | Jilin,Anseriformes
Bombycilla japonica,3,2013,Gansu | Ningxia | Qinghai,Passeriformes
Brachyramphus perdix,1,2016,Jiangsu,Charadriiformes
Branta bernicla,2,2017,Anhui | Henan,Anseriformes
Branta canadensis,4,2017,Heilongjiang | Liaoning | Tianjin | Zhejiang,Anseriformes
Branta hutchinsii,2,2016,Hebei | Hubei,Anseriformes
Branta leucopsis,1,2019,Jilin,Anseriformes
Branta ruficollis,4,2008,Hebei | Henan | Sichuan | Xinjiang,Anseriformes
Bubo nipalensis,2,2014,Chongqing | Guangxi,Strigiformes
Bubulcus ibis,3,2002,Heilongjiang | Shanxi | Tianjin,NA
Bucanetes mongolicus,3,2006,Heilongjiang | Sichuan | Tibet,Passeriformes
Bulweria bulwerii,1,2006,Yunnan,Procellariiformes
Butastur indicus,2,2013,Anhui | Gansu,Accipitriformes
Cacomantis merulinus,1,2016,Shaanxi,Cuculiformes
Calandrella brachydactyla,1,2024,Hunan,Passeriformes
Calidris acuminata,2,2010,Shaanxi | Xinjiang,Charadriiformes
Calidris alba,1,2017,Yunnan,Charadriiformes
Calidris alpina,4,2011,Chongqing | Shaanxi | Tibet | Yunnan,Charadriiformes
Calidris bairdii,1,2023,Zhejiang,Charadriiformes
Calidris canutus,1,2010,Jilin,Charadriiformes
Calidris falcinellus,2,2011,Jilin | Shaanxi,Charadriiformes
Calidris melanotos,6,2007,Hainan | Hunan | Liaoning | Tianjin | Yunnan | Zhejiang,Charadriiformes
Calidris minuta,9,2007,Hainan | Hubei | Hunan | Jilin | Liaoning | Shaanxi | Sichuan | Tianjin | Yunnan,Charadriiformes
Calidris pugnax,5,2007,Guizhou | Henan | Liaoning | Shaanxi | Tianjin,Charadriiformes
Calidris pygmaea,1,2018,Shandong,Charadriiformes
Calidris subminuta,2,2010,Jilin | Xinjiang,Charadriiformes
Calidris tenuirostris,3,2011,Jilin | Sichuan | Yunnan,Charadriiformes
Callacanthis burtoni,1,2015,Tibet,Passeriformes
Calliope obscura,1,2021,Hubei,Passeriformes
Calonectris leucomelas,2,2012,Anhui | Tianjin,Procellariiformes
Caprimulgus macrurus,1,2019,Guizhou,Caprimulgiformes
Carduelis carduelis,2,2019,Inner Mongolia | Qinghai,Passeriformes
Carpodacus roborowskii,1,2016,Xinjiang,Passeriformes
Carpodacus vinaceus,1,2022,Shandong,Passeriformes
Cecropis daurica,1,2013,Xinjiang,Passeriformes
Cecropis striolata,1,2025,Chongqing,Passeriformes
Centropus bengalensis,4,2003,Hebei | Liaoning | Tibet | Zhejiang,Cuculiformes
Cephalopyrus flammiceps,2,2013,Guangxi | Hubei,Passeriformes
Certhia familiaris,1,2024,Jiangsu,Passeriformes
Certhia himalayana,1,2014,Qinghai,Passeriformes
Certhia tianquanensis,1,2005,Shaanxi,Passeriformes
Ceryle rudis,3,2011,Beijing | Liaoning | Shaanxi,Coraciiformes
Cettia brunnifrons,1,2018,Shaanxi,Passeriformes
Cettia castaneocoronata,1,2021,Hubei,Passeriformes
Chalcophaps indica,4,2011,Anhui | Hunan | Jiangxi | Zhejiang,Columbiformes
Charadrius asiaticus,1,2001,Hubei,Charadriiformes
Charadrius atrifrons,2,2024,Guizhou | Yunnan,Charadriiformes
Charadrius dealbatus,1,2024,Jiangxi,Charadriiformes
Charadrius hiaticula,4,2010,Jiangsu | Xinjiang | Yunnan | Zhejiang,Charadriiformes
Charadrius mongolus,3,2013,Shaanxi | Yunnan,Charadriiformes
Charadrius placidus,1,2006,Hainan,Charadriiformes
Charadrius veredus,4,2006,Hainan | Jilin | Xinjiang | Yunnan,Charadriiformes
Chlidonias leucopterus,1,2008,Yunnan,Charadriiformes
Chlidonias niger,2,2021,Gansu | Hubei,Charadriiformes
Chloris ambigua,1,2006,Guangxi,Passeriformes
Chloris chloris,1,2000,Xinjiang,Passeriformes
Chloris sinica,1,2006,Hainan,Passeriformes
Chrysolophus pictus,2,2007,Shanxi | Sichuan,Galliformes
Ciconia boyciana,3,2001,Gansu | Ningxia | Tianjin,Ciconiiformes
Ciconia episcopus,1,2011,Yunnan,Ciconiiformes
Ciconia nigra,1,2021,Tibet,Ciconiiformes
Circaetus gallicus,3,2021,Guangxi | Hunan | Jiangsu,Accipitriformes
Circus aeruginosus,2,2025,Gansu | Ningxia,Accipitriformes
Circus macrourus,1,2023,Zhejiang,Accipitriformes
Circus spilonotus,1,2015,Xinjiang,Accipitriformes
Cisticola exilis,1,2007,Hainan,Passeriformes
Cisticola juncidis,1,2006,Liaoning,Passeriformes
Clamator coromandus,3,2003,Beijing | Heilongjiang | Liaoning,Cuculiformes
Clamator jacobinus,1,2021,Yunnan,Cuculiformes
Clanga clanga,1,2023,Gansu,Accipitriformes
Clangula hyemalis,7,2008,Gansu | Hubei | Jiangsu | Jiangxi | Ningxia | Shandong | Yunnan,Anseriformes
Columba oenas,2,2017,Gansu | Inner Mongolia,Columbiformes
Copsychus saularis,1,2006,Guangxi,Passeriformes
Coracias garrulus,1,2022,Qinghai,Coraciiformes
Coracina macei,1,2017,Zhejiang,Passeriformes
Coturnicops exquisitus,1,2004,Yunnan,Gruiformes
Crex crex,1,2012,Yunnan,Gruiformes
Crossoptilon mantchuricum,1,2024,Henan,Galliformes
Curruca communis,1,2025,Tibet,Passeriformes
Curruca crassirostris,1,2016,Tibet,Passeriformes
Curruca curruca,2,2022,Guizhou | Hainan,Passeriformes
Cutia nipalensis,1,2001,Hubei,Passeriformes
Cyanistes cyanus,1,2023,Jilin,Passeriformes
Cyanoderma pyrrhops,1,2010,Tibet,Passeriformes
Cyanoderma rufifrons,1,2006,Guangxi,NA
Cygnus columbianus,1,2011,Yunnan,Anseriformes
Cygnus cygnus,1,2017,Guangxi,Anseriformes
Cygnus olor,3,2010,Jilin | Shaanxi,Anseriformes
Cyornis glaucicomans,3,2020,Henan | Jiangsu | Shanxi,Passeriformes
Cyornis hainanus,1,2023,Sichuan,Passeriformes
Cyornis poliogenys,1,2014,Guangxi,Passeriformes
Cyornis rubeculoides,1,2010,Hunan,Passeriformes
Delichon dasypus,1,2018,Henan,Passeriformes
Dendrocitta formosae,1,2018,Shanghai,Passeriformes
Dendrocopos hyperythrus,1,2015,Qinghai,Piciformes
Dendrocygna javanica,1,2021,Guizhou,Anseriformes
Dicaeum cruentatum,1,2011,Jiangxi,Passeriformes
Dicaeum ignipectus,1,2016,Henan,Passeriformes
Dicaeum minullum,1,2011,Jiangxi,Passeriformes
Dicrurus annectens,1,2015,Tibet,Passeriformes
Dicrurus hottentottus,3,2006,Hainan | Heilongjiang | Qinghai,Passeriformes
Dicrurus remifer,1,2019,Tibet,Passeriformes
Egretta eulophotes,2,2003,Guangxi | Tianjin,Pelecaniformes
Egretta garzetta,1,2015,Tibet,Pelecaniformes
Egretta picata,1,2025,Jiangsu,Pelecaniformes
Elachura formosa,2,2019,Hubei | Tibet,Passeriformes
Elanus caeruleus,8,2006,Beijing | Gansu | Henan | Inner Mongolia | Liaoning | Shaanxi | Sichuan | Tianjin,Accipitriformes
Emberiza buchanani,1,2017,Qinghai,Passeriformes
Emberiza chrysophrys,2,2021,Gansu,Passeriformes
Emberiza citrinella,1,2017,Qinghai,Passeriformes
Emberiza elegans,3,2017,Heilongjiang | Qinghai | Tibet,Passeriformes
Emberiza godlewskii,2,2010,Heilongjiang | Hunan,Passeriformes
Emberiza hortulana,1,2023,Inner Mongolia,Passeriformes
Emberiza leucocephalos,1,2013,Anhui,Passeriformes
Emberiza melanocephala,1,2019,Guangxi,Passeriformes
Emberiza pallasi,1,2014,Guizhou,Passeriformes
Emberiza pusilla,1,2014,Tibet,Passeriformes
Emberiza rustica,1,2024,Guizhou,Passeriformes
Emberiza siemsseni,4,2013,Jiangsu | Jiangxi | Ningxia | Qinghai,Passeriformes
Emberiza stewarti,1,2013,Xinjiang,Passeriformes
Emberiza sulphurata,1,2006,Zhejiang,Passeriformes
Emberiza yessoensis,3,2014,Anhui | Hubei | Hunan,Passeriformes
Enicurus leschenaulti,1,2015,Inner Mongolia,Passeriformes
Enicurus maculatus,2,2018,Guizhou | Zhejiang,Passeriformes
Enicurus schistaceus,1,2024,Anhui,Passeriformes
Eremophila alpestris,1,2025,Shandong,Passeriformes
Erithacus rubecula,4,2010,Gansu | Jilin | Ningxia | Xinjiang,Passeriformes
Erpornis zantholeuca,1,2019,Tibet,Passeriformes
Erythrogenys hypoleucos,1,2019,Yunnan,Passeriformes
Eudynamys scolopaceus,4,2016,Liaoning | Qinghai | Shanxi | Tibet,Cuculiformes
Eumyias thalassinus,6,2018,Gansu | Hainan | Inner Mongolia | Jiangsu | Qinghai | Tianjin,Passeriformes
Falco cherrug,1,2018,Yunnan,Falconiformes
Falco severus,1,2014,Tibet,Falconiformes
Ficedula albicilla,1,2017,Tibet,Passeriformes
Ficedula elisae,3,2012,Hunan | Jiangxi | Shanghai,Passeriformes
Ficedula erithacus,2,2016,Guizhou | Hebei,Passeriformes
Ficedula hyperythra,3,2007,Chongqing | Hunan | Shaanxi,Passeriformes
Ficedula hypoleuca,1,2008,Xinjiang,Passeriformes
Ficedula mugimaki,1,2019,Guizhou,Passeriformes
Ficedula narcissina,3,2011,Anhui | Jiangxi | Liaoning,Passeriformes
Ficedula owstoni,1,2024,Jiangsu,Passeriformes
Ficedula parva,4,2008,Hebei | Hong Kong | Hunan | Shanghai,Passeriformes
Ficedula ruficauda,1,2017,Sichuan,Passeriformes
Ficedula strophiata,1,2017,Beijing,Passeriformes
Ficedula superciliaris,1,2020,Hubei,Passeriformes
Ficedula tricolor,3,2009,Hunan | Inner Mongolia | Qinghai,Passeriformes
Fregata andrewsi,2,2006,Fujian | Liaoning,Suliformes
Fregata ariel,4,2011,Beijing | Jiangxi | Liaoning | Shaanxi,Suliformes
Fringilla coelebs,6,2017,Gansu | Hubei | Hunan | Jiangsu | Qinghai | Yunnan,Passeriformes
Fringilla montifringilla,1,2011,Ningxia,Passeriformes
Galerida cristata,1,2010,Heilongjiang,Passeriformes
Gallicrex cinerea,1,2020,Gansu,Gruiformes
Garrulax canorus,1,2003,Liaoning,Passeriformes
Garrulax maesi,1,2008,Guangdong,Passeriformes
Garrulax monileger,3,2009,Hubei | Jiangsu | Shaanxi,Passeriformes
Gavia adamsii,3,2006,Jiangsu | Jilin | Sichuan,Gaviiformes
Gavia arctica,3,2018,Liaoning | Shaanxi | Yunnan,Gaviiformes
Gavia pacifica,1,2025,Zhejiang,Gaviiformes
Gavia stellata,2,2021,Anhui | Xinjiang,Gaviiformes
Gelochelidon nilotica,2,2020,Hubei | Hunan,Charadriiformes
Geokichla citrina,2,2009,Chongqing | Jiangxi,Passeriformes
Geokichla wardii,1,2024,Tibet,NA
Geopelia striata,1,2021,Yunnan,Columbiformes
Glareola lactea,2,2019,Guangxi | Hainan,Charadriiformes
Glaucidium cuculoides,1,2008,Beijing,Strigiformes
Gorsachius goisagi,1,2025,Hainan,Pelecaniformes
Gorsachius melanolophus,2,2019,Jiangsu | Shandong,Pelecaniformes
Gracupica nigricollis,4,2006,Anhui | Chongqing | Hainan | Shandong,Passeriformes
Grandala coelicolor,1,2009,Chongqing,Passeriformes
Grus canadensis,4,2011,Anhui | Jilin | Liaoning | Yunnan,NA
Grus japonensis,2,2024,Fujian | Sichuan,Gruiformes
Grus monacha,1,2021,Ningxia,Gruiformes
Grus nigricollis,1,2023,Inner Mongolia,Gruiformes
Grus vipio,3,2019,Gansu | Shanxi | Sichuan,NA
Grus virgo,3,2002,Anhui | Beijing | Tianjin,Gruiformes
Gygis alba,1,2006,Fujian,Charadriiformes
Gypaetus barbatus,2,2010,Chongqing | Shaanxi,Accipitriformes
Gyps himalayensis,2,2003,Guangxi | Liaoning,Accipitriformes
Gyps tenuirostris,1,2021,Yunnan,Accipitriformes
Halcyon coromanda,1,2008,Shandong,Coraciiformes
Halcyon pileata,1,2018,Tibet,Coraciiformes
Halcyon smyrnensis,5,2009,Jiangsu | Shandong | Shanghai | Tibet,Coraciiformes
Haliaeetus leucoryphus,1,2010,Yunnan,Accipitriformes
Haliaeetus pelagicus,1,2024,Jiangsu,Accipitriformes
Haliastur indus,1,2025,Hunan,Accipitriformes
Harpactes wardi,1,2020,Tibet,Trogoniformes
Helopsaltes certhiola,1,2024,Tibet,Passeriformes
Helopsaltes ochotensis,1,2013,Anhui,Passeriformes
Helopsaltes pleskei,2,2005,Guangxi | Shanghai,Passeriformes
Helopsaltes pryeri,1,2006,Shanghai,Passeriformes
Hemiprocne coronata,1,2018,Inner Mongolia,Caprimulgiformes
Hemitesia pallidipes,1,2024,Hunan,Passeriformes
Hemixos castanonotus,2,2010,Anhui | Shandong,Passeriformes
Heterophasia desgodinsi,2,2012,Hubei | Shaanxi,Passeriformes
Heteroxenicus stellatus,1,2018,Sichuan,Passeriformes
Hieraaetus pennatus,7,2012,Gansu | Hainan | Henan | Hunan | Qinghai | Shaanxi | Tibet,Accipitriformes
Hierococcyx nisicolor,1,2016,Shaanxi,Cuculiformes
Hirundapus caudacutus,1,2014,Hunan,Caprimulgiformes
Hirundo rustica,1,2022,Hainan,Passeriformes
Hirundo smithii,1,2025,Guangdong,Passeriformes
Histrionicus histrionicus,3,2014,Beijing | Inner Mongolia | Jiangsu,Anseriformes
Hydrocoloeus minutus,1,2017,Zhejiang,Charadriiformes
Hydrophasianus chirurgus,4,2015,Gansu | Liaoning | Tianjin | Yunnan,Charadriiformes
Hydroprogne caspia,3,2005,Hubei | Ningxia | Yunnan,Charadriiformes
Hypothymis azurea,1,2020,Jiangsu,Passeriformes
Hypsipetes leucocephalus,1,2021,Gansu,Passeriformes
Ianthocincla lunulata,1,2018,Ningxia,Passeriformes
Ibidorhyncha struthersii,1,2023,Anhui,Charadriiformes
Ictinaetus malaiensis,2,2010,Anhui | Shandong,Accipitriformes
Iduna caligata,1,2022,Zhejiang,Passeriformes
Indicator xanthonotus,1,2022,Sichuan,Piciformes
Ixobrychus cinnamomeus,1,2019,Qinghai,Pelecaniformes
Ixobrychus eurhythmus,1,2015,Shaanxi,Pelecaniformes
Ixobrychus minutus,1,2020,Gansu,Pelecaniformes
Ixos mcclellandii,2,2016,Gansu | Ningxia,Passeriformes
Ketupa flavipes,1,2024,Shanxi,Strigiformes
Lalage melaschistos,1,2014,Liaoning,Passeriformes
Lanius borealis,1,2022,Tibet,Passeriformes
Lanius collurioides,1,2017,Sichuan,Passeriformes
Lanius isabellinus,1,2022,Zhejiang,Passeriformes
Lanius schach,3,2001,Beijing | Jiangxi | Tianjin,Passeriformes
Lanius sphenocercus,1,2019,Yunnan,Passeriformes
