species,record_count_new_record,first_year,provinces_recorded,new_record_order
Lanius tephronotus,2,2004,Hubei | Xinjiang,Passeriformes
Larus argentatus,1,2025,Tibet,NA
Larus brunnicephalus,1,2024,Fujian,NA
Larus cachinnans,1,2006,Fujian,Charadriiformes
Larus canus,1,2025,Tibet,Charadriiformes
Larus crassirostris,1,2006,Hainan,Charadriiformes
Larus fuscus,3,2018,Hubei | Inner Mongolia | Tibet,Charadriiformes
Larus genei,2,2022,Fujian | Jiangxi,NA
Larus glaucescens,2,2018,Inner Mongolia | Shanghai,Charadriiformes
Larus hyperboreus,3,2015,Gansu | Shanxi | Tibet,Charadriiformes
Larus ichthyaetus,2,2014,Anhui | Liaoning,NA
Larus relictus,1,2019,Ningxia,NA
Larvivora akahige,2,2010,Hubei | Zhejiang,Passeriformes
Larvivora brunnea,1,2020,Jiangsu,Passeriformes
Larvivora cyane,2,2007,Hainan | Hunan,Passeriformes
Leptopoecile elegans,1,2011,Yunnan,Passeriformes
Leptoptilos javanicus,1,2014,Yunnan,Ciconiiformes
Leucogeranus leucogeranus,2,2013,Shaanxi | Yunnan,Gruiformes
Limnodromus scolopaceus,6,2014,Guangxi | Heilongjiang | Hubei | Liaoning | Shaanxi | Sichuan,Charadriiformes
Limnodromus semipalmatus,2,2011,Shaanxi | Xinjiang,Charadriiformes
Limosa lapponica,1,2013,Yunnan,Charadriiformes
Limosa limosa,1,2011,Ningxia,Charadriiformes
Linaria cannabina,1,2023,Inner Mongolia,Passeriformes
Locustella davidi,2,2003,Guangxi | Liaoning,Passeriformes
Locustella mandelli,2,2010,Guizhou | Hunan,Passeriformes
Lonchura striata,3,2006,Gansu | Tibet,Passeriformes
Lophophanes dichrous,1,2016,Hubei,Passeriformes
Lophotriorchis kienerii,1,2019,Tibet,Accipitriformes
Lophura leucomelanos,1,2024,Tibet,Galliformes
Lophura nycthemera,2,2017,Guangdong | Jiangsu,Galliformes
Loxia curvirostra,1,2024,Hubei,Passeriformes
Machlolophus xanthogenys,1,2010,Tibet,Passeriformes
Macropygia unchall,3,2016,Jiangsu | Tibet | Zhejiang,Columbiformes
Mareca americana,1,2007,Jilin,Anseriformes
Mareca falcata,2,2019,Gansu | Xinjiang,Anseriformes
Megaceryle lugubris,3,2015,Inner Mongolia | Qinghai | Tibet,Coraciiformes
Melanitta fusca,3,2021,Guangdong | Henan | Shanghai,Anseriformes
Melanitta stejnegeri,3,2017,Guizhou | Shaanxi,Anseriformes
Melanochlora sultanea,2,2018,Tibet | Zhejiang,Passeriformes
Mergus serrator,4,2017,Guizhou | Hunan | Shaanxi | Yunnan,Anseriformes
Merops philippinus,1,2023,Henan,Coraciiformes
Mixornis gularis,1,2005,Guangxi,Passeriformes
Monticola gularis,1,2013,Sichuan,Passeriformes
Monticola rufiventris,1,2007,Shaanxi,Passeriformes
Monticola solitarius,1,2019,Qinghai,Passeriformes
Motacilla citreola,1,2011,Hunan,Passeriformes
Moupinia poecilotis,1,2022,Tibet,Passeriformes
Muscicapa dauurica,1,2011,Xinjiang,Passeriformes
Muscicapa ferruginea,3,2013,Gansu | Hunan | Zhejiang,Passeriformes
Muscicapa muttui,4,2015,Henan | Hunan | Jiangsu | Shanghai,Passeriformes
Mycerobas affinis,2,2009,Shaanxi | Shandong,Passeriformes
Mycerobas carnipes,1,2021,Henan,Passeriformes
Mycteria leucocephala,1,2009,Guizhou,Ciconiiformes
Myiomela leucura,1,2018,Jiangxi,Passeriformes
Myophonus caeruleus,1,2002,Guangxi,Passeriformes
Napothera malacoptila,1,2000,Yunnan,Passeriformes
Neophron percnopterus,1,2012,Xinjiang,Accipitriformes
Netta rufina,4,2017,Anhui | Jilin | Liaoning | Shanghai,Anseriformes
Niltava davidi,1,2018,Zhejiang,Passeriformes
Niltava grandis,1,2003,Guangxi,Passeriformes
Niltava macgrigoriae,1,2023,Shandong,Passeriformes
Niltava sundara,1,2015,Hunan,Passeriformes
Ninox japonica,1,2023,Hunan,Strigiformes
Nipponia nippon,1,2024,Gansu,Pelecaniformes
Nisaetus nipalensis,3,2007,Gansu | Guizhou,Accipitriformes
Numenius madagascariensis,1,2007,Shaanxi,Charadriiformes
Numenius minutus,1,2025,Gansu,Charadriiformes
Numenius phaeopus,1,2013,Yunnan,Charadriiformes
Nycticorax nycticorax,1,2014,Tibet,Pelecaniformes
Oceanites oceanicus,1,2022,Zhejiang,Procellariiformes
Oenanthe deserti,3,2012,Shanghai | Sichuan | Zhejiang,Passeriformes
Oenanthe oenanthe,1,2024,Jiangsu,Passeriformes
Onychoprion aleuticus,4,2009,Fujian | Jiangsu | Shandong | Zhejiang,Charadriiformes
Onychoprion anaethetus,4,2013,Guangxi | Jiangsu | Shandong | Yunnan,Charadriiformes
Onychoprion fuscatus,1,2023,Yunnan,Charadriiformes
Oriolus oriolus,1,2017,Qinghai,Passeriformes
Oroanassa magnifica,7,2000,Guangdong | Guizhou | Hunan | Shaanxi | Sichuan | Yunnan,NA
Otocichla mupinensis,6,2006,Anhui | Guangxi | Jiangsu | Jiangxi | Liaoning | Shanghai,NA
Otus lettia,1,2024,Gansu,Strigiformes
Otus semitorques,3,2012,Henan | Inner Mongolia | Zhejiang,Strigiformes
Otus spilocephalus,2,2011,Anhui | Jiangxi,Strigiformes
Oxyura leucocephala,2,2019,Shaanxi | Sichuan,Anseriformes
Panurus biarmicus,2,2020,Henan | Shaanxi,Passeriformes
Paradoxornis gularis,1,2011,Shaanxi,NA
Paradoxornis guttaticollis,1,2014,Hunan,Passeriformes
Paradoxornis heudei,4,2002,Anhui | Henan | Jilin | Tianjin,Passeriformes
Parayuhina diademata,1,2014,Tibet,Passeriformes
Pardaliparus venustulus,2,2012,Jilin | Qinghai,Passeriformes
Parus major linnaeus,1,2025,Liaoning,NA
Parus monticolus,1,2006,Guangxi,Passeriformes
Passer cinnamomeus,2,2004,Beijing | Inner Mongolia,Passeriformes
Passer domesticus,6,2009,Hainan | Hubei | Jiangxi | Shaanxi | Yunnan | Zhejiang,Passeriformes
Passer hispaniolensis,2,2015,Inner Mongolia | Sichuan,Passeriformes
Passerculus sandwichensis,1,2021,Qinghai,Passeriformes
Pastor roseus,1,2025,Jiangxi,Passeriformes
Pavo cristatus,1,2025,Tibet,NA
Pelecanus crispus,1,2024,Guizhou,Pelecaniformes
Pelecanus onocrotalus,6,2004,Anhui | Jiangsu | Liaoning | Shandong | Sichuan,Pelecaniformes
Pellorneum albiventre,1,2025,Guangdong,Passeriformes
Pellorneum tickelli,2,2006,Guangxi | Tibet,Passeriformes
Perdix hodgsoniae,1,2013,Yunnan,Galliformes
Pericrocotus cantonensis,1,2023,Tianjin,Passeriformes
Pericrocotus divaricatus,1,2020,Hainan,Passeriformes
Pericrocotus ethologus,3,2014,Hunan | Inner Mongolia | Jiangsu,Passeriformes
Pericrocotus solaris,2,2009,Anhui | Chongqing,Passeriformes
Periparus rubidiventris,1,2017,Tibet,Passeriformes
Pernis ptilorhynchus,2,2001,Tianjin,Accipitriformes
Phalaropus fulicarius,4,2011,Beijing | Hainan | Henan | Sichuan,Charadriiformes
Phalaropus lobatus,5,2009,Guizhou | Henan | Jiangxi | Shaanxi | Sichuan,Charadriiformes
Phasianus colchicus,1,2021,Shandong,Galliformes
Phoebastria immutabilis,1,2005,Fujian,Procellariiformes
Phoenicopterus roseus,13,2000,Anhui | Beijing | Inner Mongolia | Liaoning | Ningxia | Qinghai | Shaanxi | Shandong | Shanghai | Sichuan | Tianjin | Xinjiang | Yunnan,Phoenicopteriformes
Phoenicurus erythronotus,1,2020,Gansu,Passeriformes
Phoenicurus frontalis,2,2017,Jiangxi | Shandong,Passeriformes
Phoenicurus leucocephalus,2,2010,Gansu | Xinjiang,Passeriformes
Phoenicurus ochruros,4,2013,Hunan | Jiangsu | Shanghai | Zhejiang,Passeriformes
Phoenicurus schisticeps,1,2010,Shandong,Passeriformes
Phyllergates cucullatus,1,2025,Guizhou,Passeriformes
Phylloscopus affinis,2,2010,Guangxi | Heilongjiang,Passeriformes
Phylloscopus borealoides,3,2006,Hunan | Jiangsu | Zhejiang,Passeriformes
Phylloscopus burkii,1,2002,Tianjin,Passeriformes
Phylloscopus cantator,2,2014,Guangxi | Tibet,Passeriformes
Phylloscopus castaniceps,4,2003,Anhui | Heilongjiang | Shanghai,Passeriformes
Phylloscopus claudiae,1,2018,Shanghai,Passeriformes
Phylloscopus collybita,8,2007,Anhui | Guangxi | Henan | Hubei | Inner Mongolia | Jiangsu | Jiangxi | Sichuan,Passeriformes
Phylloscopus coronatus,1,2013,Xinjiang,Passeriformes
Phylloscopus emeiensis,1,2019,Hunan,Passeriformes
Phylloscopus humei,1,2025,Tianjin,Passeriformes
Phylloscopus intermedius,5,2008,Guangxi | Hainan | Henan | Hunan | Shanghai,Passeriformes
Phylloscopus maculipennis,1,2025,Hunan,Passeriformes
Phylloscopus magnirostris,1,2014,Hunan,Passeriformes
Phylloscopus ogilviegranti,1,2012,Shaanxi,Passeriformes
Phylloscopus omeiensis,1,2023,Hunan,Passeriformes
Phylloscopus proregulus,1,2015,Heilongjiang,Passeriformes
Phylloscopus pulcher,1,2022,Hunan,Passeriformes
Phylloscopus ricketti,3,2010,Anhui | Henan | Jiangxi,Passeriformes
Phylloscopus sibilatrix,1,2025,Gansu,Passeriformes
Phylloscopus soror,4,2013,Beijing | Hunan | Jiangsu | Shanghai,Passeriformes
Phylloscopus subaffinis,1,2023,Inner Mongolia,Passeriformes
Phylloscopus tenellipes,1,2011,Henan,Passeriformes
Phylloscopus tephrocephalus,5,2012,Anhui | Gansu | Guizhou | Hunan | Tianjin,Passeriformes
Phylloscopus valentini,1,2025,Jiangsu,Passeriformes
Phylloscopus yunnanensis,1,2012,Jiangxi,Passeriformes
Picumnus innominatus,2,2006,Guangxi | Shandong,Piciformes
Picus chlorolophus,1,2019,Tibet,Piciformes
Pitta brachyura,1,2025,Sichuan,NA
Pitta moluccensis,1,2017,Hainan,Passeriformes
Pitta nympha,2,2011,Hubei | Jilin,Passeriformes
Pitta sordida,1,2007,Sichuan,Passeriformes
Platalea minor,1,2017,Anhui,Pelecaniformes
Plectrophenax nivalis,2,2014,Jiangsu | Liaoning,Passeriformes
Plegadis falcinellus,8,2013,Hainan | Henan | Hubei | Jiangsu | Jiangxi | Tianjin | Tibet | Yunnan,Pelecaniformes
Pluvialis apricaria,1,2021,Shandong,Charadriiformes
Pnoepyga immaculata,1,2010,Tibet,Passeriformes
Podiceps auritus,2,2017,Gansu | Shaanxi,Podicipediformes
Podiceps grisegena,1,2008,Gansu,Podicipediformes
Podiceps nigricollis,2,2007,Shaanxi | Tibet,Podicipediformes
Podoces biddulphi,1,2009,Gansu,Passeriformes
Pomatorhinus schisticeps,1,2016,Tibet,Passeriformes
Pomatorhinus superciliaris,1,2020,Tibet,Passeriformes
Porphyrio porphyrio,1,2013,Yunnan,NA
Prinia atrogularis,3,2016,Guizhou | Hunan,Passeriformes
Prinia flaviventris,2,2022,Hubei | Jiangsu,Passeriformes
Prinia inornata,2,2016,Gansu | Shaanxi,Passeriformes
Prinia rufescens,1,2025,Hunan,Passeriformes
Prinia striata,1,2025,Shanxi,Passeriformes
Prunella collaris,1,2022,Hunan,Passeriformes
Prunella himalayana,1,2010,Shandong,Passeriformes
Prunella immaculata,2,2007,Shaanxi,Passeriformes
Prunella montanella,2,2008,Jiangsu | Xinjiang,Passeriformes
Prunella strophiata,2,2010,Guizhou | Henan,Passeriformes
Psarisomus dalhousiae,1,2016,Tibet,Passeriformes
Pseudopodoces humilis,1,2023,Inner Mongolia,Passeriformes
Psilopogon faber,1,2018,Zhejiang,Piciformes
Psilopogon faiostrictus,2,2008,Guangxi | Yunnan,Piciformes
Psilopogon virens,1,2017,Gansu,Piciformes
Pterorhinus berthemyi,1,2009,Jiangsu,Passeriformes
Pterorhinus gularis,1,2007,Yunnan,Passeriformes
Pterorhinus lanceolatus,1,2017,Henan,Passeriformes
Pterorhinus pectoralis,1,2009,Jiangsu,Passeriformes
Pterorhinus sannio,1,2017,Henan,Passeriformes
Pteruthius rufiventer,1,2019,Tibet,Passeriformes
Pteruthius xanthochlorus,3,2014,Anhui | Guizhou | Hunan,Passeriformes
Ptyonoprogne rupestris,2,2024,Hubei | Jiangsu,Passeriformes
Pycnonotus aurigaster,1,2006,Hainan,Passeriformes
Pycnonotus blanfordi,1,2023,Yunnan,NA
Pycnonotus goiavier,1,2020,Yunnan,Passeriformes
Pycnonotus jocosus,3,2011,Hainan | Henan | Sichuan,Passeriformes
Pycnonotus sinensis,6,2003,Beijing | Inner Mongolia | Jilin | Liaoning | Ningxia | Qinghai,Passeriformes
Pycnonotus xanthorrhous,2,2018,Ningxia | Shanghai,Passeriformes
Pyrrhula erythaca,1,2011,Hunan,Passeriformes
Pyrrhula nipalensis,3,2010,Henan | Hunan | Shaanxi,Passeriformes
Pyrrhula pyrrhula,1,2025,Qinghai,Passeriformes
Rallina eurizonoides,3,2009,Jiangxi | Shandong,Gruiformes
Rallina fasciata,2,2001,Guangdong | Yunnan,Gruiformes
Rallus aquaticus,3,2022,Anhui | Inner Mongolia | Ningxia,Gruiformes
Recurvirostra avosetta,2,2010,Ningxia | Yunnan,Charadriiformes
Regulus regulus,2,2011,Anhui | Hunan,Passeriformes
Remiz consobrinus,4,2015,Guangxi | Guizhou | Shaanxi | Sichuan,Passeriformes
Remiz coronatus,3,2022,Gansu | Inner Mongolia,Passeriformes
Remiz pendulinus,1,2024,Xinjiang,NA
Rhodospiza obsoleta,1,2010,Shaanxi,Passeriformes
Riparia riparia,1,2006,Hainan,Passeriformes
Rissa tridactyla,7,2008,Anhui | Gansu | Guizhou | Hunan | Jilin | Qinghai | Yunnan,Charadriiformes
Rubigula flaviventris,1,2013,Guangxi,Passeriformes
Sasia ochracea,2,2014,Guangdong | Hunan,Piciformes
Saxicola ferreus,1,2019,Tianjin,Passeriformes
Saxicola rubetra,1,2023,Xinjiang,NA
Sibirionetta formosa,1,2025,Tibet,Anseriformes
Sitta cinnamoventris,1,2017,Tibet,Passeriformes
Sitta formosa,1,2019,Tibet,Passeriformes
Sitta villosa,2,2006,Heilongjiang | Shandong,Passeriformes
Sittiparus varius,1,2013,Shanghai,Passeriformes
Spilopelia chinensis,2,2006,Inner Mongolia | Jilin,Columbiformes
Spilopelia senegalensis,1,2023,Gansu,Columbiformes
Spilornis cheela,2,2011,Heilongjiang | Shanghai,Accipitriformes
Spinus spinus,1,2010,Xinjiang,Passeriformes
Spizixos semitorques,3,2017,Beijing | Hebei | Shandong,Passeriformes
Spodiopsar cineraceus,1,2018,Tibet,Passeriformes
Spodiopsar sericeus,5,2001,Gansu | Jilin | Liaoning | Ningxia | Tianjin,Passeriformes
Stachyris humei,1,2015,Tibet,Passeriformes
Stachyris nonggangensis,1,2008,Guangxi,Passeriformes
Staphida castaniceps,1,2025,Henan,Passeriformes
Staphida torqueola,1,2022,Gansu,Passeriformes
Stercorarius longicaudus,1,2019,Jiangsu,Charadriiformes
Stercorarius parasiticus,5,2017,Hunan | Inner Mongolia | Sichuan | Tibet | Yunnan,Charadriiformes
Stercorarius pomarinus,1,2007,Inner Mongolia,Charadriiformes
Streptopelia decaocto,1,2006,Heilongjiang,Columbiformes
Sturnia pagodarum,1,2023,Xinjiang,Passeriformes
Sturnia sinensis,1,2019,Jiangsu,Passeriformes
Sturnus vulgaris,4,2002,Heilongjiang | Inner Mongolia | Shaanxi | Tianjin,Passeriformes
Sula dactylatra,2,2021,Guangdong | Zhejiang,Suliformes
Sula granti,1,2025,Taiwan,NA
Sula sula,4,2001,Fujian | Hebei | Jiangsu | Zhejiang,Suliformes
Suthora alphonsiana,1,2006,Guangxi,NA
Suthora conspicillata,1,2011,Hunan,NA
Suthora fulvifrons,1,2017,Hubei,Passeriformes
Suthora przewalskii,1,2007,Sichuan,NA
Suthora webbiana,1,2024,Qinghai,NA
Sylvia atricapilla,1,2013,Xinjiang,Passeriformes
Sylviparus modestus,1,2025,Gansu,Passeriformes
Synthliboramphus antiquus,1,2006,Hainan,Charadriiformes
Syrmaticus humiae,1,2022,Yunnan,Galliformes
Syrmaticus reevesii,1,2021,Guangxi,Galliformes
Syrrhaptes paradoxus,1,2006,Guangxi,Pterocliformes
Tarsiger chrysaeus,3,2020,Guizhou | Henan | Hunan,Passeriformes
Tarsiger indicus,1,2018,Shaanxi,Passeriformes
Temnurus temnurus,1,2022,Guangdong,Passeriformes
Tephrodornis virgatus,1,2020,Zhejiang,Passeriformes
Tetrax tetrax,1,2025,Shaanxi,Otidiformes
Thalasseus bengalensis,2,2018,Guangxi | Hebei,Charadriiformes
Thalasseus bergii,1,2013,Shanghai,Charadriiformes
Timalia pileata,1,2011,Jiangxi,Passeriformes
Todiramphus chloris,1,2006,Fujian,Coraciiformes
Tragopan caboti,1,2022,Anhui,Galliformes
Tragopan temminckii,1,2021,Henan,Galliformes
Treron curvirostra,1,2023,Guangdong,Columbiformes
Treron seimundi,1,2022,Yunnan,Columbiformes
Treron sieboldii,3,2011,Henan | Jiangxi | Zhejiang,Columbiformes
Treron sphenurus,1,2023,Guangdong,Columbiformes
Tringa brevipes,1,2014,Sichuan,Charadriiformes
Tringa guttifer,1,2006,Liaoning,Charadriiformes
Tringa stagnatilis,1,2025,Guizhou,Charadriiformes
Turdus boulboul,10,2007,Anhui | Fujian | Henan | Hunan | Jiangxi | Ningxia | Qinghai | Shaanxi | Tibet | Zhejiang,Passeriformes
Turdus cardis,2,2014,Beijing | Shaanxi,Passeriformes
Turdus feae,3,2012,Anhui | Guizhou | Sichuan,Passeriformes
Turdus mandarinus,2,2011,Beijing | Ningxia,Passeriformes
Turdus migratorius,1,2024,Heilongjiang,NA
Turdus naumanni,1,2025,Heilongjiang,Passeriformes
Turdus pilaris,2,2012,Heilongjiang | Shaanxi,Passeriformes
Turdus rubrocanus,4,2018,Henan | Inner Mongolia | Jiangxi | Shanxi,Passeriformes
Turdus ruficollis,1,2021,Jiangsu,Passeriformes
Turdus viscivorus,2,2019,Gansu | Inner Mongolia,Passeriformes
Turnix suscitator,3,2023,Anhui | Zhejiang,Charadriiformes
Tyto alba,3,2004,Guangxi | Hainan | Tibet,NA
Tyto longimembris,1,2005,Hebei,Strigiformes
Urile pelagicus,1,2024,Jiangsu,NA
Urosphena squameiceps,1,2017,Anhui,Passeriformes
Vanellus cinereus,1,2006,Hainan,Charadriiformes
Vanellus indicus,1,2019,Chongqing,Charadriiformes
Vanellus leucurus,1,2012,Xinjiang,Charadriiformes
Vanellus vanellus,1,2006,Hainan,Charadriiformes
Yuhina nigrimenta,2,2007,Gansu | Shaanxi,Passeriformes
Zapornia bicolor,1,2025,Hunan,Gruiformes
Zoothera dixoni,2,2016,Hubei | Hunan,Passeriformes
Zoothera mollissima,2,2007,Hunan | Shaanxi,Passeriformes
Zoothera monticola,2,2007,Tibet | Yunnan,Passeriformes
Zosterops erythropleurus,1,2019,Qinghai,Passeriformes
Zosterops meyeni,1,2024,Hubei,Passeriformes
